variation_description,work,note,new_code,out_type,sick_subset
100% SICK TIME (CREDIT OR CHARGE),,sick,,1,1
100% SICK TIME BALANCE PAID AT RETIREMENT,,,,,
50% SICK TIME BALANCE PAID AT RETIREMENT,,,,,
75%  SICK TIME (CREDIT OR CHARGE),,sick,,1,1
ABSENT WITHOUT PAY (POS OR NEG),,,,1,
ABSENT WITHOUT PAY - BANKED EXCESS SICK TIME,,,,1,
ABSENT WITHOUT PAY - CPTO,,,,1,
ABSENT WITHOUT PAY - FAMILY ILLNESS > 40.0 HOURS,,,,1,1
ABSENT WITHOUT PAY - FAMILY LEAVE-C CLASS,,,,1,
ABSENT WITHOUT PAY - FLOATING HOLIDAY,,,,1,
ABSENT WITHOUT PAY - OVERTIME OFF 1.5,,,,1,
ABSENT WITHOUT PAY - PREVENTIVE MEDICINE > LIMIT,,,,1,
ABSENT WITHOUT PAY - SICK LEAVE,,,,1,1
ABSENT WITHOUT PAY - VACATION,,,,1,
ADDITIONAL BEREAVEMENT LEAVE OUT OF SICK TIME,,,,1,
ADJUST VACATION EARNED BALANCE (+) OR (-),,banks,,,
ADJUST VC MAX BALANCE (-) WAIVED,,,,,
ADJUSTMENT PERMANENT VARIATION IN RATE,1,,,,
ADMINISTRATIVE LEAVE WITH PAY (POS OR NEG),,,,1,
BANKED EXCESS SICK TIME - PAID AT TERMINATION/RETIREMENT,,payment,,,
BANKED EXCESS SICK TIME - TIME OFF,,,,,
BEREAVEMENT LEAVE (POS OR NEG),,,,1,
BIKE/WORK NON-TAX REIMBURSEMENT,,payment,,,
BIKE/WORK TAXABLE REIMBURSEMENT,,payment,,,
BONUS OR MARKSMANSHIP,,payment,,,
CALIFORNIA STATE TAX ADJUSTMENT (POS OR NEG),,payment,,,
CASH-IN-LIEU PAYMENT,,payment,,,
CATASTROPHIC TIME TRANSFERRED FROM BANK TO RECEIVING EMPLO,,banks,,,
CATASTROPHIC TIME USED BY CIVILIAN FROM CATASTROPHIC,,banks,,,
